County,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Gray_Elizabeth,Huckabee_Mike,Kasich_John,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Clinton_Hillary,De La Fuente_Rocky,Hawes_Calvis,Judd_Keith,Locke_Star,O'Malley_Martin,Sanders_Bernie,Wilson_Willie
Dimmit,0,1,0,55,0,0,0,0,3,0,11,0,30,"1,804",162,8,36,6,39,534,30
Donley,6,73,0,361,1,1,0,4,34,4,73,1,254,33,0,0,0,0,0,35,1
Duval,1,6,0,57,0,0,0,0,2,0,12,0,47,"2,273",112,9,18,6,8,523,35
Eastland,32,133,2,"2,222",5,2,1,19,51,4,341,3,"1,048",171,2,5,3,1,2,122,1
Ector,296,833,24,"7,242",8,9,6,82,287,45,"2,288",8,"4,455","1,855",29,2,11,7,5,942,6
Edwards,4,22,3,224,0,2,0,1,9,1,79,1,209,42,2,1,1,0,0,27,0
Ellis,239,"1,258",15,"12,564",18,5,3,36,552,48,"3,816",13,"6,938","3,725",11,8,18,5,16,"1,568",11
El Paso,382,"1,258",23,"10,934",44,15,47,40,"1,070",92,"7,408",21,"7,290","36,140",437,127,266,70,289,"17,234",179
Erath,73,367,10,"3,291",7,2,2,37,150,21,921,1,"2,030",427,3,1,10,1,6,365,0
Falls,46,81,4,"1,150",3,1,1,6,73,7,191,1,894,551,2,0,3,0,4,115,2
Fannin,47,252,4,"2,822",2,2,0,13,129,12,551,16,"1,834",507,3,1,4,1,8,279,2
Fayette,55,196,3,"2,853",6,1,0,10,163,16,832,3,"2,050",584,4,2,5,2,6,309,2
Fisher,6,33,0,306,0,0,0,5,12,0,61,1,140,226,9,1,6,5,21,146,10
Floyd,26,98,1,711,1,1,0,12,34,3,190,1,238,60,7,0,0,0,0,24,0
Foard,0,1,0,18,0,0,0,0,0,0,0,0,11,80,4,3,10,5,5,112,14
Fort Bend,658,"2,045",53,"31,430",55,8,22,53,"3,325",168,"13,396",15,"16,930","29,259",40,29,12,11,48,"9,774",33
Franklin,33,122,4,"1,155",2,0,0,11,82,3,354,1,700,164,1,0,2,1,1,73,0
Freestone,86,301,3,"2,209",9,6,0,14,86,8,434,3,"1,541",380,0,2,0,2,5,102,4
Frio,2,26,2,268,0,1,0,0,4,2,33,0,133,"1,864",114,16,30,15,47,630,36
Gaines,20,167,8,"1,274",1,0,0,10,30,5,280,1,611,91,5,0,3,3,2,59,0
Galveston,486,"1,213",44,"17,523",46,11,10,59,"1,471",123,"6,049",13,"12,003","9,466",50,10,19,11,59,"4,241",23
Garza,17,65,3,574,1,3,0,8,21,0,89,0,224,35,1,0,1,0,2,22,1
Gillespie,103,345,13,"3,423",12,1,1,22,386,30,"1,505",3,"2,166",493,1,0,0,0,1,314,1
Glasscock,1,30,0,202,1,0,0,4,11,1,66,1,83,4,0,0,0,0,0,4,0
Goliad,15,40,4,747,2,0,1,0,33,4,176,1,509,389,22,3,4,1,5,151,11
Gonzales,58,93,5,"1,698",0,0,1,3,77,12,357,2,984,368,4,0,4,0,2,129,2
Gray,54,318,7,"2,211",1,4,4,26,78,11,372,6,"1,329",111,0,1,2,0,5,86,1
Grayson,281,"1,079",34,"8,653",26,11,584,112,739,56,"2,820",26,"6,141","1,940",8,5,9,5,9,"1,687",10
Gregg,325,902,23,"8,385",20,7,4,78,739,53,"2,779",9,"4,713","3,423",18,4,3,5,11,911,11
Grimes,53,155,5,"2,208",2,2,1,7,85,9,433,0,"1,404",584,1,1,1,2,7,201,1
Guadalupe,213,858,36,"9,294",15,6,9,19,600,60,"3,579",4,"5,897","3,793",18,16,9,9,13,"2,067",8
Hale,72,320,4,"2,204",4,1,4,10,97,12,703,0,924,312,15,0,4,7,1,176,2
Hall,6,27,0,270,0,0,0,1,6,2,33,14,156,63,2,0,1,0,4,28,0
Hamilton,27,94,3,"1,065",6,3,1,3,47,3,200,1,698,118,3,0,1,0,3,84,0
Hansford,22,69,0,682,3,1,2,8,28,2,151,1,318,21,0,0,1,0,1,13,0
Hardeman,20,41,2,290,1,0,0,5,15,4,68,0,223,71,2,0,2,1,12,88,4
Hardin,122,393,7,"6,357",7,1,4,30,241,26,"1,049",4,"4,009",625,2,2,7,2,10,398,4
Harris,"4,026","9,134",290,"148,010",360,130,87,342,"17,544",768,"63,336",128,"80,024","157,000",594,454,191,200,462,"63,416",369
Harrison,137,439,8,"5,013",5,1,5,61,298,18,"1,198",3,"3,110","2,046",2,1,71,0,6,530,5
Hartley,10,55,4,577,1,0,0,0,41,1,146,0,247,29,0,0,0,0,1,19,3
Haskell,5,80,0,409,0,0,0,3,17,1,82,0,209,159,4,2,4,2,5,93,2
Hays,259,948,26,"8,260",40,5,10,50,978,160,"4,344",15,"4,975","6,634",91,14,12,12,37,"7,322",11
Hemphill,22,73,2,533,1,2,1,3,49,3,182,1,350,15,0,0,0,0,0,8,0
Henderson,270,688,24,"7,070",11,7,3,41,417,38,"1,811",13,"4,683","1,593",3,4,6,4,7,598,11
Hidalgo,328,765,25,"7,105",40,11,20,27,412,78,"4,157",15,"5,523","40,308","1,118",191,135,119,392,"15,907",196
Hill,194,409,55,"4,004",5,3,11,17,205,20,926,6,"2,901",718,3,7,5,2,4,297,3
Hockley,57,264,1,"2,075",3,1,1,15,80,9,527,2,"1,018",183,6,0,1,2,5,116,1
Hood,178,715,19,"5,952",11,5,3,26,472,38,"2,093",9,"4,512",928,3,2,6,5,6,527,5
Hopkins,91,384,3,"3,214",4,3,3,42,154,9,848,10,"2,069",628,4,1,2,0,4,298,3
Houston,43,181,5,"2,137",6,0,0,9,84,7,381,3,"1,473",464,2,0,5,2,1,101,5
Howard,63,209,7,"1,827",1,1,0,15,65,7,479,4,"1,092",351,3,1,3,0,2,192,1
Hudspeth,0,11,0,71,0,0,0,0,0,0,28,0,76,99,10,1,2,6,27,97,6
Hunt,140,605,10,"7,251",7,1,1,32,352,27,"1,650",3,"4,204","1,329",4,2,3,2,6,849,3
Hutchinson,81,277,8,"2,419",4,117,4,32,91,27,499,11,"1,417",153,4,1,3,4,3,103,3
Irion,2,25,0,228,0,1,0,0,7,0,58,0,92,28,0,1,0,0,0,14,0
Jack,16,60,1,943,1,1,1,1,18,4,176,3,645,87,2,0,1,1,2,46,1
Jackson,24,81,1,"1,429",1,0,0,2,48,10,313,1,795,266,4,1,3,0,5,94,4
Jasper,47,217,1,"3,055",1,1,2,13,97,5,430,1,"2,072",932,3,5,4,4,12,270,2
Jeff Davis,8,36,0,230,0,0,0,0,12,2,74,2,144,140,0,2,1,2,4,132,2
Jefferson,156,680,16,"9,144",16,5,7,12,493,35,"2,343",13,"5,971","16,589",88,89,62,56,163,"4,441",74
Jim Hogg,0,1,0,20,0,0,0,0,0,0,6,0,15,"1,421",80,1,9,3,11,356,13
Jim Wells,35,87,4,868,0,0,1,2,44,8,297,1,738,"4,697",227,31,33,32,55,"1,436",42
Johnson,258,"1,528",24,"12,076",24,3,2,44,476,52,"3,100",15,"7,267","2,271",6,1,8,6,10,"1,566",13
Jones,59,165,16,"1,642",1,39,7,17,92,8,314,0,964,173,0,1,3,0,1,95,1
Karnes,8,41,3,649,2,0,1,1,16,0,134,0,351,726,29,8,19,17,46,479,47
Kaufman,249,776,29,"8,051",14,1,4,46,392,41,"2,163",10,"5,515","2,234",3,2,2,3,9,951,4
Kendall,141,479,14,"4,393",17,180,1,13,412,47,"1,847",2,"2,520",641,2,1,1,2,3,491,0
Kenedy,0,2,0,8,0,0,0,0,1,0,5,0,2,63,6,0,1,2,2,32,0
Kent,2,18,0,117,0,0,0,0,2,0,16,0,73,22,1,0,4,1,3,28,1
Kerr,133,621,20,"4,871",23,1,3,28,574,31,"2,324",6,"3,582","1,020",4,0,1,2,12,709,0
Kimble,6,65,1,456,1,0,0,2,24,2,155,0,400,29,0,0,1,0,0,34,1
King,0,17,0,43,0,0,0,2,5,0,5,0,39,2,0,0,0,0,0,1,0
Kinney,6,27,1,202,1,0,0,0,5,1,72,2,189,211,11,1,5,7,3,107,2
Kleberg,33,75,4,996,1,2,0,7,79,7,410,0,609,"1,740",46,6,12,7,13,630,6
Knox,10,45,1,347,1,0,0,3,18,1,78,0,198,68,0,3,4,0,2,17,1
Lamar,157,540,16,"4,097",9,6,2,36,280,34,"1,319",7,"3,293",924,3,0,3,2,10,388,3
Lamb,58,244,5,"1,121",3,2,7,3,40,16,368,4,612,172,9,16,18,9,8,87,4
Lampasas,58,198,0,"1,709",3,1,1,9,127,10,463,0,"1,249",324,2,1,2,1,3,207,2
Lasalle,1,8,0,126,0,0,0,0,1,0,47,0,115,557,43,10,6,3,12,157,10
Lavaca,17,100,2,"2,198",0,109,1,6,84,14,370,1,"1,217",322,1,0,2,1,5,137,2
Lee,33,133,5,"1,462",3,1,1,7,82,8,340,2,"1,148",367,3,1,4,4,1,180,1
Leon,13,152,3,"1,921",3,1,100,13,62,2,277,0,"1,256",289,0,1,5,1,2,89,2
Liberty,153,412,18,"5,835",7,1,4,42,156,42,815,8,"4,154","1,043",0,2,11,2,18,383,4
Limestone,47,219,5,"1,692",0,1,2,9,70,9,353,2,"1,309",592,3,0,1,1,3,144,4
Lipscomb,17,67,0,515,1,0,0,5,19,3,97,1,287,22,1,0,0,0,0,11,0
Live Oak,19,64,2,"1,082",3,1,1,3,44,3,216,0,680,203,9,5,0,3,5,73,3
Llano,110,221,10,"2,166",6,3,3,13,252,18,"1,045",5,"1,985",519,1,2,6,1,2,267,3
Loving,1,1,0,14,0,0,0,0,0,0,7,0,8,3,0,0,1,0,2,5,1
Lubbock,858,"2,750",103,"19,196",73,14,20,141,"1,492",113,"7,627",99,"9,485","5,782",63,11,13,21,39,"4,137",18
Lynn,21,92,2,678,4,4,1,4,28,1,182,0,294,14,0,0,0,0,0,10,0
Madison,29,95,1,"1,047",0,0,0,6,39,5,194,1,673,227,0,2,2,1,0,70,0
Marion,15,87,1,717,1,1,0,6,29,2,148,1,697,422,1,1,4,0,3,123,0
Martin,9,52,1,519,1,0,0,2,11,1,136,0,205,36,1,1,4,0,1,17,1
Mason,9,54,2,677,0,0,1,4,42,6,152,0,320,89,1,0,2,0,0,50,0
Matagorda,21,126,0,"2,110",0,0,0,4,81,10,515,4,"1,470","1,088",6,1,3,5,14,344,6
Maverick,6,18,0,171,0,0,1,0,3,0,88,2,143,"4,343",212,21,27,16,53,"1,508",65
Mcculloch,32,93,3,906,2,1,1,10,49,9,257,2,662,93,3,0,1,0,1,43,0
Mclennan,513,"1,682",47,"14,286",30,15,7,102,"1,597",64,"4,712",11,"7,669","5,531",17,6,13,12,28,"2,633",21
Mcmullen,5,10,0,172,0,1,0,0,7,0,44,1,157,4,0,0,0,0,0,1,0
